P,C/1B,2B,3B,SS,OF,OF,OF,UTIL
90923-85251,90923-38218,90923-21853,90923-102488,90923-60672,90923-82734,90923-79272,90923-79093,90923-38973,
90923-85251,90923-79273,90923-21853,90923-102488,90923-82654,90923-16983,90923-102296,90923-102282,90923-12900,
90923-85251,90923-79188,90923-21853,90923-102488,90923-38614,90923-12933,90923-39086,90923-79272,90923-82608,
90923-82775,90923-38218,90923-85504,90923-102488,90923-102621,90923-85261,90923-60631,90923-79272,90923-21853,
90923-85251,90923-21172,90923-135305,90923-61553,90923-60672,90923-82440,90923-82734,90923-54068,90923-79093,
90923-85251,90923-79223,90923-135305,90923-38976,90923-68589,90923-82440,90923-12933,90923-79211,90923-53994,
90923-85251,90923-21172,90923-21853,90923-38976,90923-68589,90923-82440,90923-163666,90923-54068,90923-104483,
90923-82775,90923-102284,90923-85504,90923-68531,90923-102621,90923-79756,90923-85261,90923-21609,90923-14000,
90923-85251,90923-6312,90923-85504,90923-68585,90923-82608,90923-181987,90923-39086,90923-21875,90923-79188,
90923-102407,90923-79223,90923-135305,90923-38976,90923-60672,90923-82734,90923-163666,90923-79093,90923-68589,
90923-85251,90923-6312,90923-135305,90923-38976,90923-68589,90923-181987,90923-163666,90923-119311,90923-102303,
90923-82775,90923-52175,90923-102308,90923-79074,90923-165507,90923-79756,90923-102591,90923-102296,90923-82608,
90923-85251,90923-101787,90923-85504,90923-38976,90923-68589,90923-163666,90923-60642,90923-53033,90923-68525,
90923-102407,90923-6312,90923-21853,90923-68585,90923-82608,90923-181987,90923-79272,90923-60635,90923-102488,
90923-82775,90923-21172,90923-102308,90923-68585,90923-165507,90923-82440,90923-12933,90923-102296,90923-54068,
90923-85251,90923-21887,90923-163706,90923-13719,90923-82608,90923-82440,90923-12933,90923-54068,90923-21172,
90923-82775,90923-79120,90923-85504,90923-82615,90923-102621,90923-85261,90923-82734,90923-79093,90923-60672,
90923-82775,90923-79401,90923-21853,90923-102488,90923-82608,90923-39151,90923-79272,90923-102282,90923-11334,
90923-85251,90923-79273,90923-85277,90923-68585,90923-82654,90923-16983,90923-38973,90923-60635,90923-6312,
90923-82775,90923-6312,90923-85504,90923-79074,90923-102621,90923-181987,90923-85261,90923-119311,90923-102303,
90923-82775,90923-52175,90923-135305,90923-79074,90923-60672,90923-79756,90923-79230,90923-5456,90923-163696,
90923-85251,90923-12968,90923-21853,90923-102488,90923-13390,90923-39151,90923-79272,90923-53586,90923-119372,
90923-52198,90923-6312,90923-181814,90923-68585,90923-38614,90923-181987,90923-39086,90923-60635,90923-38976,
90923-82775,90923-21887,90923-102415,90923-13719,90923-60672,90923-39086,90923-82734,90923-79093,90923-12968,
90923-82775,90923-79273,90923-85504,90923-38976,90923-82654,90923-85261,90923-16983,90923-53993,90923-12900,
90923-85251,90923-101910,90923-21853,90923-102488,90923-65881,90923-79230,90923-5456,90923-79272,90923-163696,
90923-85251,90923-119444,90923-85277,90923-79074,90923-82608,90923-79756,90923-16983,90923-136672,90923-52175,
90923-82775,90923-21172,90923-85504,90923-52176,90923-102621,90923-82440,90923-85261,90923-54068,90923-104483,
90923-85251,90923-101787,90923-102308,90923-102488,90923-165507,90923-79272,90923-102296,90923-102295,90923-21853,
90923-102396,90923-38321,90923-21853,90923-102488,90923-38614,90923-39086,90923-39151,90923-102282,90923-181814,
90923-85251,90923-119442,90923-135305,90923-5607,90923-21612,90923-82440,90923-12933,90923-119297,90923-54068,
90923-82775,90923-79273,90923-85277,90923-79074,90923-82654,90923-82440,90923-12933,90923-16983,90923-54068,
90923-85251,90923-101910,90923-135239,90923-79216,90923-60672,90923-39151,90923-82734,90923-163696,90923-79093,
90923-102396,90923-21172,90923-21853,90923-79074,90923-21612,90923-82440,90923-12933,90923-54068,90923-102282,
90923-85251,90923-79110,90923-102308,90923-179272,90923-21612,90923-39151,90923-102591,90923-102282,90923-21853,
90923-85251,90923-101910,90923-85504,90923-79216,90923-102621,90923-85261,90923-53993,90923-163696,90923-14000,
90923-52198,90923-11334,90923-21853,90923-38976,90923-68589,90923-39151,90923-163666,90923-53586,90923-13390,
90923-102001,90923-52175,90923-21853,90923-61553,90923-60672,90923-79756,90923-82734,90923-79093,90923-136672,
90923-102001,90923-79120,90923-85504,90923-68585,90923-102621,90923-181987,90923-60631,90923-60635,90923-6312,
90923-85251,90923-38321,90923-181814,90923-82615,90923-38614,90923-82440,90923-12933,90923-54068,90923-79211,
90923-85251,90923-79082,90923-85504,90923-119306,90923-38614,90923-39086,90923-79884,90923-81953,90923-181814,
90923-85251,90923-119307,90923-70898,90923-38976,90923-68589,90923-12933,90923-79884,90923-163666,90923-79141,
90923-17121,90923-52175,90923-21853,90923-38976,90923-68589,90923-79756,90923-163666,90923-136672,90923-79074,
90923-82775,90923-79120,90923-85504,90923-102488,90923-102621,90923-79756,90923-136672,90923-38299,90923-21890,
90923-82775,90923-11334,90923-85504,90923-5607,90923-102621,90923-85261,90923-39151,90923-53586,90923-13390,
90923-119430,90923-79223,90923-21853,90923-38976,90923-68589,90923-12933,90923-163666,90923-102282,90923-102488,
90923-85251,90923-165571,90923-85504,90923-102331,90923-102621,90923-85261,90923-82589,90923-102288,90923-21853,
90923-82775,90923-6312,90923-102308,90923-68585,90923-165507,90923-181987,90923-102591,90923-119311,90923-21853,
90923-82775,90923-12968,90923-102415,90923-68585,90923-108450,90923-82440,90923-12933,90923-79211,90923-162509,
90923-102396,90923-102284,90923-119412,90923-68585,90923-185300,90923-82440,90923-12933,90923-79211,90923-14000,
90923-85251,90923-13266,90923-21853,90923-102488,90923-119349,90923-79230,90923-82589,90923-102282,90923-165571,
90923-102407,90923-119495,90923-85504,90923-61553,90923-82608,90923-39086,90923-82734,90923-79093,90923-79188,
90923-102396,90923-21172,90923-181814,90923-68585,90923-38614,90923-82440,90923-39086,90923-54068,90923-104483,
90923-102407,90923-38321,90923-181814,90923-38976,90923-38614,90923-39086,90923-163666,90923-38973,90923-68589,
90923-85251,90923-21887,90923-85504,90923-79074,90923-80462,90923-85261,90923-53993,90923-165693,90923-163706,
90923-52198,90923-82624,90923-21853,90923-79074,90923-21612,90923-39151,90923-17086,90923-102282,90923-102488,
90923-102001,90923-79223,90923-85504,90923-38976,90923-102621,90923-12933,90923-85261,90923-53993,90923-53994,
